[29-Sep-2016 14:29:02 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:29:02 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:29:38 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:29:49 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:30:18 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:30:22 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:43:21 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:43:21 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:45:50 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:46:34 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:46:58 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:47:58 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:49:05 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:49:55 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:50:11 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:50:51 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:51:18 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:51:37 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:51:38 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:51:38 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:51:39 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:51:39 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:51:40 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:51:40 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:51:41 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:51:41 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:51:42 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:51:43 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:51:43 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:51:44 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:51:44 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 16:12:23 PRC] PHP Fatal error:  Call to undefined function system\msyqli_insert_id() in E:\www\system\db.php on line 31
[29-Sep-2016 16:21:29 PRC] PHP Fatal error:  Call to undefined function system\msyqli_insert_id() in E:\www\system\db.php on line 31
[29-Sep-2016 16:21:30 PRC] PHP Fatal error:  Call to undefined function system\msyqli_insert_id() in E:\www\system\db.php on line 31
[29-Sep-2016 16:24:23 PRC] PHP Parse error:  syntax error, unexpected ''hello.php\';' (T_ENCAPSED_AND_WHITESPACE), expecting identifier (T_STRING) in E:\www\tester\app\sandbox\source\test\index.php on line 7
[29-Sep-2016 16:27:57 PRC] PHP Parse error:  syntax error, unexpected ''hello.php\';' (T_ENCAPSED_AND_WHITESPACE), expecting identifier (T_STRING) in E:\www\tester\app\sandbox\source\test\index.php on line 7
[29-Sep-2016 16:28:10 PRC] PHP Parse error:  syntax error, unexpected ''hello.php\';' (T_ENCAPSED_AND_WHITESPACE), expecting identifier (T_STRING) in E:\www\tester\app\sandbox\source\test\index.php on line 7
[29-Sep-2016 16:28:17 PRC] PHP Parse error:  syntax error, unexpected ''hello.php\';' (T_ENCAPSED_AND_WHITESPACE), expecting identifier (T_STRING) in E:\www\tester\app\sandbox\source\test\index.php on line 7
